AREA_NAME,COMMODITY_DESC,count
KIMBERLEY AREA,IRON OR STEEL,125
KIMBERLEY AREA,CEMENT ORDINARY,48
KIMBERLEY AREA,WHEAT MODDERRIVER RELOAD,42
KIMBERLEY AREA,BLOCKS EOHP,38
KIMBERLEY AREA,GYPSUM EOHP,34
KIMBERLEY AREA,CONTAINER WAGON MOVEMENT,23
KIMBERLEY AREA,MAIZE LOOSE,15
KIMBERLEY AREA,REC FULL EMPTY RETURN(CONTRACT,6
KIMBERLEY AREA,GAS IN TANK WAGONS,5
KIMBERLEY AREA,LIMESTONE BAG/LOOSE OPEN WAGON,2
KIMBERLEY AREA,HARDWARE EOHP,1
KINGS REST AREA,CONTAINER WAGON MOVEMENT,3371
KINGS REST AREA,P12M CONT HEAVY >26T-<29400KG,85
KINGS REST AREA,P12M CONT EXP HEAV >26T-29400K,49
KINGS REST AREA,LIME IN BAGS,24
KROONSTAD AREA,MAIZE LOOSE,27
KROONSTAD AREA,PETROL UNL T/W GASOLINE 1203,21
KROONSTAD AREA,INFRASTRUCTURE,20
KROONSTAD AREA,MAIZE EX DOUGLAS/MODDERRIVIER,16
KROONSTAD AREA,DIESEL FUEL OIL T/WAGONS,13
KROONSTAD AREA,MINING TIMBER,7
KROONSTAD AREA,AMMONIA ANHYDROUS LIQUOR / SOL,1
KRUGERSDORP AREA,MAIZE LOOSE,184
KRUGERSDORP AREA,WHEAT LOOSE EOHP,34
KRUGERSDORP AREA,PETROL UNL T/W GASOLINE 1203,17
KRUGERSDORP AREA,INFRASTRUCTURE,17
KRUGERSDORP AREA,CEMENT CLINKER,14
KRUGERSDORP AREA,DIESEL FUEL OIL T/WAGONS,9
KRUGERSDORP AREA,WHEAT MODDERRIVER RELOAD,5
LICHTENBURG AREA,CEMENT ORDINARY IN T/WAGONS,591
LICHTENBURG AREA,COAL EOHP,330
LICHTENBURG AREA,CEMENT CLINKER,300
LICHTENBURG AREA,INFRASTRUCTURE,49
LICHTENBURG AREA,BAGGED CEMENT SHRINK WRAPPED,28
LICHTENBURG AREA,FLY ASH IN TANK WAGONS,22
LICHTENBURG AREA,REC FULL EMPTY RETURN(CONTRACT,13
MASCON CONT.AREA,CONTAINER WAGON MOVEMENT,176
MASCON CONT.AREA,P12M CONT HEAVY >26T-<29400KG,41
MASCON CONT.AREA,PRIV IMP NON ISO STD OVERMASS,39
NELSPRUIT AREA,COAL EOHP,2352
NELSPRUIT AREA,MAGNETITE,1853
NELSPRUIT AREA,PHOSPHATE ROCK,1027
NELSPRUIT AREA,PULPWOOD (HARD WOOD),773
NELSPRUIT AREA,INFRASTRUCTURE,315
NELSPRUIT AREA,SUGAR LOOSE,237
NELSPRUIT AREA,CHROME ORE SAND CRUDE EXP,196
NELSPRUIT AREA,DIESEL FUEL OIL T/WAGONS,173
NELSPRUIT AREA,MANGANESE CRUDE DIOXIDE EXP,87
NELSPRUIT AREA,ORS,68
NELSPRUIT AREA,MINING TIMBER,28
NELSPRUIT AREA,VERMUCULITE,12
NELSPRUIT AREA,MANGANESE CRUDE DIOXIDE LOCAL,8
NELSPRUIT AREA,PETROL UNL T/W GASOLINE 1203,2
NELSPRUIT AREA,AMMONIA ANHYDROUS LIQUOR / SOL,2
NEWCASTLE AREA,COAL EOHP,2934
NEWCASTLE AREA,COAL EXPORT FOR STACKS,1275
NEWCASTLE AREA,SLAG IRON & STEEL T/WAGONS,991
NEWCASTLE AREA,INFRASTRUCTURE,134
NEWCASTLE AREA,CONTAINER WAGON MOVEMENT,121
NEWCASTLE AREA,CHROME ORE AND SAND,111
NEWCASTLE AREA,WIRE EOHP,106
NEWCASTLE AREA,CEMENT ORDINARY IN T/WAGONS,56
NEWCASTLE AREA,AMMONIA ANHYDROUS LIQUOR / SOL,50
NEWCASTLE AREA,MAIZE LOOSE,49
NEWCASTLE AREA,LIMESTONE BAG/LOOSE OPEN WAGON,30
NEWCASTLE AREA,CHEMICALS IN T/WAGONS,30
NEWCASTLE AREA,DIESEL FUEL OIL T/WAGONS,12
NEWCASTLE AREA,LIME UNSLATED HYDRATED LOOSE,10
NEWCASTLE AREA,PETROL UNL T/W GASOLINE 1203,1
NEWCASTLE AREA,P12M CONT HEAVY >26T-<29400KG,1
NEWCASTLE AREA,GENERAL SPRINT UNALLOCATED,1
OGIES AREA,MAGNETITE,487
OGIES AREA,COAL EXPORT FOR STACKS,302
OGIES AREA,COAL EOHP,76
PIETERMARITZBURG AREA,WHEAT LOOSE EOHP,331
PIETERMARITZBURG AREA,COKE EOHP,112
PIETERMARITZBURG AREA,INFRASTRUCTURE,57
PIETERMARITZBURG AREA,WHEAT MODDERRIVER RELOAD,32
PIETERMARITZBURG AREA,PULPWOOD (HARD WOOD),2
PIETERMARITZBURG AREA,P12M CONT HEAVY >26T-<29400KG,1
PIETERMARITZBURG AREA,MANGANESE SINTERED,1
POLOKWANE AREA,FLUORSPAR,136
POLOKWANE AREA,INFRASTRUCTURE,67
POLOKWANE AREA,DIESEL FUEL OIL T/WAGONS,6
PORT ELIZABETH AREA,MANGANESE CRUDE DIOXIDE EXP,27917
PORT ELIZABETH AREA,MANGANESE SINTERED,555
PORT ELIZABETH AREA,MOTOR SELFPROPELLED VEHICLES,295
PORT ELIZABETH AREA,MANGANESE CRUDE DIOXIDE LOCAL,184
PORT ELIZABETH AREA,INFRASTRUCTURE,134
PORT ELIZABETH AREA,MAIZE LOOSE,55
PORT ELIZABETH AREA,IRON OR STEEL,45
PORT ELIZABETH AREA,CEMENT CLINKER,40
PORT ELIZABETH AREA,RAILWAY MATERIAL,15
PORT ELIZABETH AREA,MALT,11
POSTMASBURG AREA,MANGANESE CRUDE DIOXIDE EXP,10318
POSTMASBURG AREA,IRON ORE,4437
POSTMASBURG AREA,IRON ORE (EXP),861
POSTMASBURG AREA,MANGANESE CRUDE DIOXIDE LOCAL,382
POSTMASBURG AREA,CONTAINER TRAFF MOVED AS BULK,212
PRETCON CONT.AREA,MOTOR SELFPROPELLED VEHICLES,252
PRETORIA AREA,CEMENT CLINKER,1568
PRETORIA AREA,MOTOR SELFPROPELLED VEHICLES,419
PRETORIA AREA,WHEAT LOOSE EOHP,373
PRETORIA AREA,COAL EOHP,314
PRETORIA AREA,WHEAT MODDERRIVER RELOAD,254
PRETORIA AREA,CHROME ORE SAND CRUDE EXP,181
PRETORIA AREA,MAIZE LOOSE,92
PRETORIA AREA,GYPSUM EOHP,68
PRETORIA AREA,BLOCKS EOHP,35
PRETORIA AREA,DIESEL FUEL OIL T/WAGONS,13
PRETORIA AREA,PETROL UNL T/W GASOLINE 1203,5
PRETORIA AREA,TRACTION,1
RICHARDS BAY AREA,MAGNETITE,8751
RICHARDS BAY AREA,CHROME ORE SAND CRUDE EXP,5925
RICHARDS BAY AREA,PHOSPHATE ROCK,5057
RICHARDS BAY AREA,FERROCHROME,4894
RICHARDS BAY AREA,TITANIUM SLAG,2261
RICHARDS BAY AREA,COAL EXPORT FOR STACKS,2161
RICHARDS BAY AREA,PULPWOOD (HARD WOOD),1860
RICHARDS BAY AREA,IRON ORE (EXP),1462
RICHARDS BAY AREA,IRON/ PIG SPONGE,1156
RICHARDS BAY AREA,MANGANESE CRUDE DIOXIDE EXP,994
RICHARDS BAY AREA,SUGAR CANE EOHP,783
RICHARDS BAY AREA,MANGANESE CRUDE DIOXIDE LOCAL,673
RICHARDS BAY AREA,COAL EOHP,383
RICHARDS BAY AREA,CONTAINER WAGON MOVEMENT,204
RICHARDS BAY AREA,GRANITE OR GRANITE CHIPS,158
RICHARDS BAY AREA,AMMONIA ANHYDROUS LIQUOR / SOL,134
RICHARDS BAY AREA,RUTILE SAND,133
RICHARDS BAY AREA,SULPHUR AND SULPHUR POWDER,108
RICHARDS BAY AREA,GENERAL SPRINT UNALLOCATED,76
RICHARDS BAY AREA,ZIRCONIUM SAND  SILICATE,29
RICHARDS BAY AREA,INFRASTRUCTURE,25
RICHARDS BAY AREA,ORS,20
RICHARDS BAY AREA,PULPWOOD(SOFTWOOD),14
RICHARDS BAY AREA,OIL LUBRICATING IN T TRUCKS,1
RICHARDS BAY COAL AREA,AMMONIA ANHYDROUS LIQUOR / SOL,266
RICHARDS BAY COAL AREA,COAL EXPORT FOR STACKS,58
RICHARDS BAY COAL AREA,INFRASTRUCTURE,45
RUSTENBURG AREA,CHROME ORE SAND CRUDE EXP,8256
RUSTENBURG AREA,FERROCHROME,3774
RUSTENBURG AREA,COAL EOHP,1518
RUSTENBURG AREA,CHROME ORE AND SAND,446
RUSTENBURG AREA,DIESEL FUEL OIL T/WAGONS,70
RUSTENBURG AREA,PETROL UNL T/W GASOLINE 1203,44
RUSTENBURG AREA,GRANITE OR GRANITE CHIPS,37
RUSTENBURG AREA,WHEAT LOOSE EOHP,2
SALKOR AREA,IRON ORE (EXP),124111
SALKOR AREA,MANGANESE CRUDE DIOXIDE EXP,1358
SALKOR AREA,INFRASTRUCTURE,301
SALKOR AREA,TITANIUM CRUDE ILMENITE SAND,268
SALKOR AREA,ZIRCONIUM SAND  SILICATE,257
SALKOR AREA,MANGANESE CRUDE DIOXIDE LOCAL,98
SALKOR AREA,RUTILE SAND,42
SALKOR AREA,GRANITE OR GRANITE CHIPS,17
SENTRARAND AREA,DIESEL FUEL OIL T/WAGONS,19
SENTRARAND AREA,INFRASTRUCTURE,12
SPRINGS AREA,PETROLEUM DERIVATIVES,468
SPRINGS AREA,CEMENT ORDINARY IN T/WAGONS,202
SPRINGS AREA,CAUSTIC SODA EOHP,55
SPRINGS AREA,TAR ACID MIXTURE CRUDE,22
SPRINGS AREA,INFRASTRUCTURE,12
SPRINGS AREA,CONTAINER WAGON MOVEMENT,11
SPRINGS AREA,GAS IN TANK WAGONS,7
THABAZIMBI AREA,COAL EOHP,3610
THABAZIMBI AREA,CHROME ORE SAND CRUDE EXP,1701
THABAZIMBI AREA,CEMENT CLINKER,524
THABAZIMBI AREA,GYPSUM EOHP,226
THABAZIMBI AREA,BLOCKS EOHP,88
VAALCON CONT.AREA,CONTAINER WAGON MOVEMENT,169
VAALCON CONT.AREA,P12M CONT HEAVY >26T-<29400KG,77
VEREENIGING AREA,COAL EOHP,6946
VEREENIGING AREA,IRON ORE,2273
VEREENIGING AREA,IRON OR STEEL,414
VEREENIGING AREA,PHOSPHATE ROCK,322
VEREENIGING AREA,LIME IN BAGS,314
VEREENIGING AREA,LIMESTONEPOWDER BOT DIS WAGONS,302
VEREENIGING AREA,AMMONIA ANHYDROUS LIQUOR / SOL,258
VEREENIGING AREA,LIME UNSLAKE IN BOT DIS WAGON,223
VEREENIGING AREA,LIMESTONE BAG/LOOSE OPEN WAGON,211
VEREENIGING AREA,LIME UNSLATED HYDRATED LOOSE,131
VEREENIGING AREA,SALT,94
VEREENIGING AREA,PETROLEUM DERIVATIVES,79
VEREENIGING AREA,DOLOMITE IN OPEN BOGIE WAGONS,68
VEREENIGING AREA,WHEAT MODDERRIVER RELOAD,59
VEREENIGING AREA,INFRASTRUCTURE,34
VEREENIGING AREA,IRON/ PIG SPONGE,34
VEREENIGING AREA,CHEMICALS IN T/WAGONS,27
VEREENIGING AREA,UREA PHOSOPHATE (KARBAMITE FOS,24
VEREENIGING AREA,WHEAT LOOSE EOHP,22
VEREENIGING AREA,MAIZE LOOSE,10
VEREENIGING AREA,GAS IN TANK WAGONS,7
VEREENIGING AREA,HARDWARE EOHP,2
VEREENIGING AREA,ORS,2
VEREENIGING AREA,TRACTION,1
VRYHEID AREA,COAL EXPORT FOR STACKS,430
VRYHEID AREA,PULPWOOD (HARD WOOD),136
VRYHEID AREA,INFRASTRUCTURE,49
WELGEDAG AREA,REC FULL EMPTY RETURN(CONTRACT,7629
WELGEDAG AREA,COAL CONTAINERS BULK TRAFFIC,293
WELGEDAG AREA,CONTAINER WAGON MOVEMENT,169
WELGEDAG AREA,COAL EOHP,36
WITBANK AREA,CHROME ORE AND SAND,6185
WITBANK AREA,CHROME ORE SAND CRUDE EXP,2128
WITBANK AREA,FERROCHROME,1002
WITBANK AREA,COAL EXPORT FOR STACKS,745
WITBANK AREA,REC FULL EMPTY RETURN(CONTRACT,524
WITBANK AREA,COAL EOHP,492
WITBANK AREA,CONTAINER WAGON MOVEMENT,388
WITBANK AREA,GENERAL SPRINT UNALLOCATED,319
WITBANK AREA,LIMESTONE BAG/LOOSE OPEN WAGON,180
WITBANK AREA,MANGANESE CRUDE DIOXIDE LOCAL,171
WITBANK AREA,COAL CONTAINERS BULK TRAFFIC,85
WITBANK AREA,IRON ORE (EXP),65
WITBANK AREA,LIME IN BAGS,63
WITBANK AREA,MAGNETITE,38
WITBANK AREA,INFRASTRUCTURE,27
WITBANK AREA,DIESEL FUEL OIL T/WAGONS,5
WITBANK AREA,HARDWARE EOHP,2
WITBANK AREA,OIL LUBRICATING IN T TRUCKS,1
WORCESTOR AREA,MAIZE LOOSE,188
WORCESTOR AREA,MAIZE EX DOUGLAS/MODDERRIVIER,27
WORCESTOR AREA,CEMENT ORDINARY IN T/WAGONS,20
WORCESTOR AREA,INFRASTRUCTURE,19
WORCESTOR AREA,DIESEL FUEL OIL T/WAGONS,16
WORCESTOR AREA,FERTILIZER EOHP,10
WORCESTOR AREA,ORS,1
