AREA_NAME,LOCATION_NAME,count
NEWCASTLE AREA,ROOIPUNT SDG.KARBOCHEM,175
NEWCASTLE AREA,NEWCON,147
NEWCASTLE AREA,BALLENGEICH SDG.IZIMBIWA COAL,100
NEWCASTLE AREA,DANSKRAAL DEPT.SIDING 8450,75
NEWCASTLE AREA,ESTCOURT SDG.SASKO MILLS,49
NEWCASTLE AREA,PERDEKOP,42
NEWCASTLE AREA,ROOIPUNT SDG.KARBOCHEM 1,30
NEWCASTLE AREA,LADYSMITH SDG.TOTAL SOUTH AFRI,13
NEWCASTLE AREA,DANSKRAAL,9
NEWCASTLE AREA,MALONJENI,8
NEWCASTLE AREA,NEWCASTLE YARD,1
OGIES AREA,BROODSNYERSPLAAS SDG.MARTIN AN,487
OGIES AREA,BROODSNYERSPLAAS,200
OGIES AREA,VANDYKSDRIF SITE EXXARO COAL C,100
OGIES AREA,SAAIWATER SDG.GLENCORE OPERATI,76
OGIES AREA,BLINKPAN,2
PIETERMARITZBURG AREA,VICTORIA SDG.TIGER FOOD BRANDS,359
PIETERMARITZBURG AREA,CATO RIDGE SDG.ASSMANG CATO RI,113
PIETERMARITZBURG AREA,MOOIRIVIER,39
PIETERMARITZBURG AREA,CATO RIDGE,9
PIETERMARITZBURG AREA,LIDGETTON,5
PIETERMARITZBURG AREA,VICTORIA SDG.AFRISAM SOUTH AFRICA LTD,5
PIETERMARITZBURG AREA,VICTORIA,4
PIETERMARITZBURG AREA,MOLLISSIMA,1
PIETERMARITZBURG AREA,KLEINVELD,1
POLOKWANE AREA,PIENAARSRIVIER DEPT.SID VERGEN,136
POLOKWANE AREA,LOUIS TRICHARDT,36
POLOKWANE AREA,PIENAARSRIVIER,14
POLOKWANE AREA,POLOKWANE,12
POLOKWANE AREA,POLOKWANE DEPT.SIDING 8744,6
POLOKWANE AREA,BELA BELA,4
POLOKWANE AREA,TZANEEN OPERATIONAL,1
PORT ELIZABETH AREA,ALGOABAAI KANTELAAR,23279
PORT ELIZABETH AREA,ALGOABAAI SDG.FPT GROUP PTY LT,3470
PORT ELIZABETH AREA,ALOES SDG.NELSON MANDELA BAY M,1039
PORT ELIZABETH AREA,SWARTKOPS SDG.SWARTKOPS TERMIN,868
PORT ELIZABETH AREA,UITENHAGE,182
PORT ELIZABETH AREA,ALGOABAAI ANKERPLEK 1,113
PORT ELIZABETH AREA,COOKHOUSE,80
PORT ELIZABETH AREA,WITMOS,51
PORT ELIZABETH AREA,NEW BRIGHTON SDG.P.P CEMENT LI,40
PORT ELIZABETH AREA,ALGOABAAI ANKERPLEK 9,37
PORT ELIZABETH AREA,UITENHAGE DEPT.SIDING CROWN CH,36
PORT ELIZABETH AREA,NEW BRIGHTON SDG.MEADOW FEEDS MILLS CAPE,19
PORT ELIZABETH AREA,UITENHAGE HERSTELDEPOT,15
PORT ELIZABETH AREA,REDHOUSE SDG.SOUTH AFRICAN BREWERIES,11
PORT ELIZABETH AREA,ALGOABAAI,10
PORT ELIZABETH AREA,ALICEDALE,1
POSTMASBURG AREA,BEESHOEK SDG.ASSOCIATED MANAGANESE MINES,4811
POSTMASBURG AREA,HOTAZEL SDG.ASSOCIATED MANAGAN,3490
POSTMASBURG AREA,HOTAZEL SDG. KUDUMANE MANAGEME,2941
POSTMASBURG AREA,LOHATLHA DEPT.SIDING S.A FREIG,1446
POSTMASBURG AREA,MAMATHWANE SDG.SAMANCOR LIMITED 1,1266
POSTMASBURG AREA,HOTAZEL SDG.SOUTH 32 MANGANESE,827
POSTMASBURG AREA,MAMATHWANE SDG.UNITED MANGANES,603
POSTMASBURG AREA,POSTMASBURG DEPT.SIDING SEDIBE,487
POSTMASBURG AREA,MAMATHWANE SDG.TSHIPI E NTLE MANGANESE,339
PRETCON CONT.AREA,WALTLOO SDG.FORD MOTOR CO,252
PRETORIA AREA,HERCULES SDG.PRETORIA PORTLAND,1671
PRETORIA AREA,PRETORIA-WES SDG.RUTO MILLS 1,719
PRETORIA AREA,ROSSLYN SDG. BMW SOUTH AFRICA,419
PRETORIA AREA,COR DELFOS SDG.ARCELORMITTAL S,314
PRETORIA AREA,ROSSLYN DEPT.SIDING VUKA MZANT,181
PRETORIA AREA,WALTLOO SDG.BP SOUTHERN AFRICA,18
PRETORIA AREA,KOEDOESPOORT DEPT.SIDING 8248,1
RICHARDS BAY AREA,RICHARDS BAY HARBOUR COMBI TER,14082
RICHARDS BAY AREA,RICHARDS BAY HARBOUR TILTER TE,12454
RICHARDS BAY AREA,MANDLAZINI DEPT.SIDING UNATHIS,3155
RICHARDS BAY AREA,RICHARDS BAY SDG.NAVITRATE ROC,1896
RICHARDS BAY AREA,RICHARDS BAY HARBOUR BOTTOM DI,1884
RICHARDS BAY AREA,RICHARDS BAY SDG.BAYFIBRE CENT,1214
RICHARDS BAY AREA,FELIXTON SDG.TONGAAT HULETT SU,763
RICHARDS BAY AREA,RICHARDS BAY SDG.CENTRAL TIMBE,345
RICHARDS BAY AREA,RICHARDS BAY SDG.BRIARDALE TRA,292
RICHARDS BAY AREA,RICHARDS BAY HARBOUR BULK META,234
RICHARDS BAY AREA,RICHARDS BAY SDG.MONDI LIMITED,177
RICHARDS BAY AREA,RICHARDS BAY SDG.WOODCHIPS NCT,177
RICHARDS BAY AREA,RICHARDS BAY SDG.RCB IRON AND,172
RICHARDS BAY AREA,RICHARDS BAY SDG.FOSKOR LIMITE,134
RICHARDS BAY AREA,MANDINI SDG.SAPPI KRAFT,107
RICHARDS BAY AREA,RICHARDS BAY HARBOUR WAGON LOA,81
RICHARDS BAY AREA,RICHARDS BAY SDG.CITY COUNCIL,29
RICHARDS BAY AREA,RICHARDS BAY SDG.SEAMUNYE PORT,20
RICHARDS BAY AREA,NSELENI,13
RICHARDS BAY AREA,RICHARDS BAY DEPT.SIDING 8582,8
RICHARDS BAY AREA,NKWALINI,5
RICHARDS BAY AREA,DUMEZWENI,5
RICHARDS BAY AREA,GOLELA,4
RICHARDS BAY AREA,BEDLANE,3
RICHARDS BAY AREA,MAGUZULA,3
RICHARDS BAY AREA,MEVAMHLOPE,3
RICHARDS BAY AREA,MGANU,1
RICHARDS BAY AREA,EMPANGENI DEPT.SIDING 8493,1
RICHARDS BAY COAL AREA,RICHARDS BAY SDG ISLAND VIEW BULK STORAG,266
RICHARDS BAY COAL AREA,RICHARDS BAY HARBOUR COAL TERMINAL,58
RICHARDS BAY COAL AREA,ULUNDI,45
RUSTENBURG AREA,RUSTENBURG,7574
RUSTENBURG AREA,NORITE SDG.XSTRATA,2229
RUSTENBURG AREA,BLESKOP SDG.BLESKOP RAIL AND L,1210
RUSTENBURG AREA,RUSTENBURG SDG.XSTRATA AFRICA PTY LTD,956
RUSTENBURG AREA,MARIKANA,856
RUSTENBURG AREA,BOSHOEK SDG.XSTRATA SOUTH AFRI,589
RUSTENBURG AREA,PENDORING,574
RUSTENBURG AREA,RUSTENBURG SDG.BP SOUTHERN AFRICA,114
RUSTENBURG AREA,TURFGROND SDG.SAMANCOR LIMITED,43
RUSTENBURG AREA,BRITS SDG.MAGALIESBURGSE GRAAN,2
SALKOR AREA,KNAPP SDG.ASSMANG LIMITED,46744
SALKOR AREA,SISHEN PRO (ERTS),39602
SALKOR AREA,VROLIK SDG.SISHEN IRON ORE,37557
SALKOR AREA,SALDANHA HARBOUR POTTERKOM,853
SALKOR AREA,SALKOR SDG.NAMAKWA SANDS LTD,567
SALKOR AREA,SALKOR SDG.YSTERVARK ORE,472
SALKOR AREA,SALKOR PRECAST SIDING,369
SALKOR AREA,SAGGIESBERG,97
SALKOR AREA,HALFWEG,63
SALKOR AREA,KREEFBAAI,59
SALKOR AREA,SOUS,54
SALKOR AREA,VROLIK,14
SALKOR AREA,KENHARDT,1
SENTRARAND AREA,SENTRARAND DEPT.SIDING 8724,19
SENTRARAND AREA,SENTRARAND,12
SPRINGS AREA,TRICHARDT SDG.SASOL OIL,550
SPRINGS AREA,BRAKPAN SDG.AFRISAM SOUTH AFRI,202
SPRINGS AREA,SPRINGS,12
SPRINGS AREA,TRICHARDT SDG.SASOL CHEMICALS,10
SPRINGS AREA,NIGEL SDG.EASIGAS PTY LTD,2
SPRINGS AREA,TRICHARDT SDG.POLIFIN LIMITED,1
THABAZIMBI AREA,LEPHALALE SDG.EXXARO COAL PTY,2396
THABAZIMBI AREA,DWAALBOOM SDG.PPC LIME LIMITED,2052
THABAZIMBI AREA,TUSSENIN SDG.ANGLO AMERICAN PL,1398
THABAZIMBI AREA,KILKENNY SDG.RUSTENBURG PLATIN,223
THABAZIMBI AREA,NORTHAM,80
VAALCON CONT.AREA,VAALCON (CX),246
VEREENIGING AREA,BIJLKOR SDG.ARCELORMITTAL S.A,10280
VEREENIGING AREA,VEREENIGING SDG.VEREENIGING REFRACTORIES,637
VEREENIGING AREA,SASOLBURG SDG.OMNIA GROUP PTY,365
VEREENIGING AREA,SASOLBURG SDG.SASOL CHEMICAL I,239
VEREENIGING AREA,SASOLBURG SDG.BUTAMOL LIMITED,177
VEREENIGING AREA,LEEUHOF SDG.PREMIER FOOD,80
VEREENIGING AREA,BLOEMHOF,35
VEREENIGING AREA,SASOLBURG SDG.SENMIN INTERNATI,25
VEREENIGING AREA,SASOLBURG OPERATIONAL,9
VEREENIGING AREA,SASOLBURG SDG.SAFRIPOL PTY LTD,7
VEREENIGING AREA,BLOEMHOF SDG.SUIDWES LANDBOU,2
VEREENIGING AREA,KINGSWOOD SDG.SUIDWES LANDBOU,1
VRYHEID AREA,VRYHEID SDG.NGUNI MINING PTY L,240
VRYHEID AREA,PIET RETIEF SDG.JINDAL MINING,190
VRYHEID AREA,WILDRAND,79
VRYHEID AREA,HLUNGWANA,39
VRYHEID AREA,MKONDO,15
VRYHEID AREA,MQWABE,12
VRYHEID AREA,COMMONDALE,12
VRYHEID AREA,VRYHEID,10
VRYHEID AREA,VRYHEID DEPT.SIDING 8384,10
VRYHEID AREA,PAULPIETERSBURG,4
VRYHEID AREA,VRYHEID OOS DEPT.SIDING 8536,3
VRYHEID AREA,ISWEPE,1
WELGEDAG AREA,GROOTVLEI SDG.ESKOM,7398
WELGEDAG AREA,STANDERTON SDG.TUTUKA ESKOM HO,400
WELGEDAG AREA,ARBOR SDG.GIJIMA SUPPLY MANAGE,151
WELGEDAG AREA,HAWERKLIP,142
WELGEDAG AREA,DELMAS SDG.EXXARO COAL PTY LTD,36
WITBANK AREA,WITBANK SDG.SAMANCOR FERROMETA,3590
WITBANK AREA,MIDDELBURG SDG.SAMANCOR LIMITE,3173
WITBANK AREA,STEELPOORT,1976
WITBANK AREA,CLEWER SDG.HIGHVELD STEEL CORP,1120
WITBANK AREA,FORFAR SDG.MS RAIL,997
WITBANK AREA,STEELPOORT SDG.SAMANCOR LIMITED,637
WITBANK AREA,UITKYK,317
WITBANK AREA,STEELPOORT SDG.SAMANCOR LIMITE,175
WITBANK AREA,CLEWER SDG.TRANSALLOYWS PTY LT,171
WITBANK AREA,LYDENBURG SDG.XSTRATA,85
WITBANK AREA,PAN,78
WITBANK AREA,SUNBURY,65
WITBANK AREA,BELFAST,26
WITBANK AREA,LYDENBURG LOCO,5
WITBANK AREA,CLEWER OPERATIONAL,4
WITBANK AREA,LYDENBURG,1
WORCESTOR AREA,WORCESTER SDG.RCL FOODS SUGAR,195
WORCESTOR AREA,GEORGE SDG.PRETORIA PORTLAND CEMENT LTD,20
WORCESTOR AREA,KARRINGMELK SDG.SENTRAAL SUID KOOPERASIE,20
WORCESTOR AREA,LAINGSBURG,13
WORCESTOR AREA,WORCESTER DEPT.SIDING 8767,10
WORCESTOR AREA,SWELLENDAM SDG.SENTRAAL SUID K,10
WORCESTOR AREA,GEORGE,7
WORCESTOR AREA,VOORBAAI LOCO/DEPOT,4
WORCESTOR AREA,VOORBAAI TERREIN,2
